method,run,time,num_of_calls,fx
Line-MS,95,0.19590102400002252,212,1.2359235118606189
Line-MS,96,0.13082976900000176,212,1.2359235118606189
Line-MS,97,0.2076134970000112,212,1.2359235118606189
Line-MS,98,0.20774229399989963,212,1.2359235118606189
Line-MS,99,0.20755024300001423,212,1.2359235118606189
Line-MS,100,0.20748886999990646,212,1.2359235118606189
Reg,1,0.19918407199998,206,1.4672673564491574
Reg,2,0.1999366300001384,206,1.4672673564491574
Reg,3,0.19867731699991964,206,1.4672673564491574
Reg,4,0.2624282750000475,206,1.4672673564491574
Reg,5,0.5055935149998732,206,1.4672673564491574
Reg,6,0.5023612990000856,206,1.4672673564491574
Reg,7,0.5012635620000765,206,1.4672673564491574
Reg,8,0.3776603569999679,206,1.4672673564491574
Reg,9,0.41620901400006005,206,1.4672673564491574
Reg,10,0.42955874600011157,206,1.4672673564491574
Reg,11,0.5053218460000153,206,1.4672673564491574
Reg,12,0.4604828129999987,206,1.4672673564491574
Reg,13,0.38951113500002066,206,1.4672673564491574
Reg,14,0.5028418389999842,206,1.4672673564491574
Reg,15,0.28188446699982705,206,1.4672673564491574
Reg,16,0.38548569700014923,206,1.4672673564491574
Reg,17,0.5029479570000603,206,1.4672673564491574
Reg,18,0.5057185569999092,206,1.4672673564491574
Reg,19,0.5052139089998491,206,1.4672673564491574
Reg,20,0.5019369139999981,206,1.4672673564491574
Reg,21,0.5016399309999997,206,1.4672673564491574
